NAZWA;WSPÓŁRZĘDNA 1;WSPÓŁRZĘDNA 2
OPUSZCZONE SZKLARNIE (WARSZAWA URSUS);52.1946988;20.9032381
OPUSZCZONA CZĘŚĆ BUDYNKU.(ZAKŁADY URSUS) WARSZAWA URSUS;52.2068309;20.8715129
OPUSZCZONY DOM WARSZAWA WESOŁA;52.2445370;21.2227030
DOMEK- WARSZAWA STARA MIŁOSNA ;52.2244770;21.2189920
OPUSZCZONY PGR, JABŁONNA, WARSZAWA ;52.3769628;20.9114083
"DOMEK WARSZAWA ""EZOPA"" ";52.1929460;21.1971910
ZESPÓŁ PAŁACOWO-PARKOWY MŁOCINY, WARSZAWA;52.3087080;20.9372830
ZABUDOWANIA NA TERENACH NIEISTNIEJĄCEGO MŁYNU MICHLA NA PRADZE, WARSZAWA ;52.2573030;21.0626260
ZABYTKOWA KAMIENICA, WARSZAWA;52.2329380;20.9900720
WOJSKOWY TOR ĆWICZEŃ (?), WARSZAWA;52.2131030;20.9448340
WIEŻA KONTROLI LOTÓW, WARSZAWA ;52.2562780;20.9286010
SZKOŁA WYŻSZA ALMAMER, WARSZAWA ;52.2337000;20.9702740
STRZELNICA WOJSKOWA, WARSZAWA;52.2664240;20.8955880
STARY MOST KOLEJOWY, WARSZAWA ;52.3188270;21.0216280
STARA KAMIENICA NA MOKOTOWIE, WARSZAWA ;52.2009530;21.0229160
STARA KAMIENICA, ŻELAZNA 43, WARSZAWA;52.2307040;20.9930170
STARA BETONIARNIA, WARSZAWA ;52.2398040;20.9274020
STALOWNIA PRASKA I ZBROJOWNIA NR 2, WARSZAWA ;52.2610130;21.0474500
SIEROCINIEC DZIEŁ NIECHCIANYCH (PRZENIESIONY), WARSZAWA, RADOŚĆ ;52.1951920;21.1966420
RUINY WIEŻY CIŚNIEŃ, PTWK SŁUŻEWIEC, WARSZAWA ;52.1555610;21.0069720
PSIARNIA WOJSKOWA I BUDYNEK MIESZKALNY, WARSZAWA;52.2051750;21.0852420
PIERWSZA POLSKA WYTWÓRNIA ŁAŃCUCHÓW ROLKOWYCH , WARSZAWA ;52.2298170;20.9789840
PAŁACYK ŚLESZYŃSKICH, WARSZAWA;52.2236460;21.0237980
ORZEŁ (STADION KOLARSKI, HALA ĆWICZEŃ), WARSZAWA ;52.2504130;21.0735150
OPUSZCZONY ZAKŁAD, WARSZAWA ;52.2154300;21.0442260
OPUSZCZONY DWOREK, WARSZAWA ;52.1589280;20.9995940
OPUSZCZONY DOM I GOSPODARSTWO, WARSZAWA ;52.2240960;21.2201950
OPUSZCZONY DOM, WARSZAWA;52.2238560;20.9625360
OPUSZCZONY DOM, WARSZAWA - BIAŁOŁĘKA ;52.3151690;20.9780930
OPUSZCZONY DOM, WARSZAWA;52.2678190;21.0172270
OPUSZCZONY DOM, WARSZAWA, RADOŚĆ ;52.1867730;21.1992210
OPUSZCZONY BUDYNEK MIESZKALNY, WARSZAWA ;52.2251300;21.0581220
OPUSZCZONY BUDYNEK, WARSZAWA ;52.2115970;21.0192810
DZIAŁOBITNIA FORTU ŚLIWICKIEGO, WARSZAWA, MAZOWIECKIE;52.2655280;21.0159550
DWOREK NA MŁOCINACH, WARSZAWA;52.3087740;20.9212840
DUŻY BLOK MIESZKALNY, WARSZAWA;52.2354220;20.9845090
DOMEK PRZY KWITNĄCEJ AKACJI, WARSZAWA, RADOŚĆ;52.1826030;21.2178180
DUŻA KAMIENICA, WARSZAWA;52.2398260;20.9885460
DOM NA BARCICKIEJ, WARSZAWA;52.2801250;20.9547470
CEMENTOWNIA KANAŁEK ŻERAŃSKI , WARSZAWA;52.3370670;21.0336320
BUDYNEK ZA NIERUCHOMOŚCIAMI, WARSZAWA WESOŁA;52.2524890;21.2306203
BLIŻSZA RADIOLATARNIA PROWADZĄCA (BABICE), WARSZAWA;52.2725230;20.8829820
KATAKUMBY, WARSZAWA;52.1728000;21.0449980
KAMIENICA PRZY UL. ŻELAZNEJ, WARSZAWA;52.2284470;20.9951360
KAMIENICA NA PAŃSKIEJ 100A, WARSZAWA;52.2310590;20.9889940
KAMIENICA NA POTOCKIEJ, WARSZAWA;52.2775650;20.9838600
KAMIENICA LEJBA OSMOSA, WARSZAWA;52.2333900;20.9968820
GAZOWNIA WARSZAWSKA NA WOLI, WARSZAWA;52.2243160;20.9663990
GARBARNIA TEMLER I SZWEDE, WARSZAWA;52.2519240;20.9817840
FORT W-SZCZA ODOLANY, WARSZAWA;52.2151410;20.9353920
FORT VII ZBARŻ, WARSZAWA;52.1706420;20.9838010
FORT SZCZA SZCZĘŚLIWICE, WARSZAWA;52.2064500;20.9492540
FORT III BLIZNE, WARSZAWA;52.2469320;20.8935930
FORT IV CHRZANÓW, WARSZAWA;52.2204910;20.8914470
FORT BEMA, BUDYNEK WCH, WARSZAWA;52.2584190;20.9431600
FORT BEMA, WARSZAWA;52.2572040;20.9386110
OPUSZCZONA WILLA, SUŁKOWICKA, WARSZAWA;52.2059890;21.0321240
OPUSZCZONA STARA KAMIENICA, WARSZAWA;52.2279440;20.9941760
OPUSZCZONA HALA FSO, WARSZAWA;52.2928640;21.0070000
OPUSZCZONA AMBASADA ROSYJSKICH DYPLOMATÓW, WARSZAWA;52.1971750;21.0405830
NEXPOL, WARSZAWA-ŻERAŃ;52.3214520;21.0131980
MAGAZYN PALIW WRAZ ZE SCHRONEM, WARSZAWA;52.1683650;20.9915040
KOTŁOWNIA SZPITALA BIELAŃSKIEGO, WARSZAWA;52.2854220;20.9486180
KOTŁOWNIA AON W REMBERTOWIE, WARSZAWA;52.2690700;21.1801280
KORYTARZ KSIĄŻĘCY, WARSZAWA;52.2295080;21.0250000
KOLEJOWE ODOLANY, WARSZAWA;52.2168230;20.9268980
OPUSZCZONE OBIEKTY WOJSKOWE, WARSZAWA;52.2745650;21.1771350
